m_star, r_d, sigma_1au, sigma_rd, F_FUV, log10(m_dot)
3.000000, 500.000000, 1.000000e+01, 2.000000e-02, 1.000000e+05, -5.656806
3.000000, 250.000000, 1.000000e+01, 4.000000e-02, 1.000000e+05, -5.538448
3.000000, 150.000000, 1.000000e+01, 6.666667e-02, 1.000000e+05, -5.693341
3.000000, 100.000000, 1.000000e+01, 1.000000e-01, 1.000000e+05, -5.802591
3.000000, 80.000000, 1.000000e+01, 1.250000e-01, 1.000000e+05, -5.983829
3.000000, 60.000000, 1.000000e+01, 1.666667e-01, 1.000000e+05, -6.303934
3.000000, 40.000000, 1.000000e+01, 2.500000e-01, 1.000000e+05, -6.857767
3.000000, 20.000000, 1.000000e+01, 5.000000e-01, 1.000000e+05, -7.941751
3.000000, 10.000000, 1.000000e+01, 1.000000e+00, 1.000000e+05, -9.035063
3.000000, 5.000000, 1.000000e+01, 2.000000e+00, 1.000000e+05, -9.624372
3.000000, 500.000000, 1.000000e+02, 2.000000e-01, 1.000000e+05, -4.883608
3.000000, 250.000000, 1.000000e+02, 4.000000e-01, 1.000000e+05, -5.255832
3.000000, 150.000000, 1.000000e+02, 6.666667e-01, 1.000000e+05, -5.835538
3.000000, 100.000000, 1.000000e+02, 1.000000e+00, 1.000000e+05, -6.474005
3.000000, 80.000000, 1.000000e+02, 1.250000e+00, 1.000000e+05, -6.661021
3.000000, 60.000000, 1.000000e+02, 1.666667e+00, 1.000000e+05, -6.881820
3.000000, 40.000000, 1.000000e+02, 2.500000e+00, 1.000000e+05, -7.310154
3.000000, 20.000000, 1.000000e+02, 5.000000e+00, 1.000000e+05, -7.806112
3.000000, 10.000000, 1.000000e+02, 1.000000e+01, 1.000000e+05, -7.831522
3.000000, 5.000000, 1.000000e+02, 2.000000e+01, 1.000000e+05, -7.830649
3.000000, 500.000000, 1.000000e+03, 2.000000e+00, 1.000000e+05, -5.223652
3.000000, 250.000000, 1.000000e+03, 4.000000e+00, 1.000000e+05, -5.793327
3.000000, 150.000000, 1.000000e+03, 6.666667e+00, 1.000000e+05, -6.149625
3.000000, 100.000000, 1.000000e+03, 1.000000e+01, 1.000000e+05, -6.432759
3.000000, 80.000000, 1.000000e+03, 1.250000e+01, 1.000000e+05, -6.642650
3.000000, 60.000000, 1.000000e+03, 1.666667e+01, 1.000000e+05, -6.875050
3.000000, 40.000000, 1.000000e+03, 2.500000e+01, 1.000000e+05, -7.286469
3.000000, 20.000000, 1.000000e+03, 5.000000e+01, 1.000000e+05, -7.321596
